repeat,index,stage,valid,jev_error,deepseek_error,jev_seconds,deepseek_seconds,jev_minus_deepseek,all_labels_agree
0,0,intent,True,,,0.7087325800675899,1.13115089898929,-0.4224183189217001,True
0,15,motor,True,,,0.3595080568920821,0.8173475179355592,-0.45783946104347706,False
0,30,intent,True,,,0.359322811011225,0.6787533580791205,-0.31943054706789553,True
0,45,motor,True,,,0.32066259486600757,0.8231442398391664,-0.5024816449731588,True
0,60,intent,True,,,0.3409894739743322,1.2527203930076212,-0.911730919033289,True
0,75,motor,True,,,0.34442544099874794,0.9501365560572594,-0.6057111150585115,True
0,90,intent,True,,,0.4435330689884722,0.770678335102275,-0.3271452661138028,True
0,105,motor,True,,,0.620277572888881,0.7536750119179487,-0.13339743902906775,False
1,0,intent,True,,,0.4593576369807124,1.1103954720310867,-0.6510378350503743,True
1,15,motor,True,,,0.34776187501847744,1.2917463290505111,-0.9439844540320337,False
1,30,intent,True,,,0.7643141560256481,0.6569037539884448,0.10741040203720331,True
1,45,motor,True,,,0.4289183090440929,0.8444402990862727,-0.4155219900421798,True
1,60,intent,True,,,0.32679573306813836,0.6033549068961293,-0.2765591738279909,True
1,75,motor,True,,,0.3139397350605577,0.7116645600181073,-0.39772482495754957,True
1,90,intent,True,,,0.32576235802844167,0.9466793138999492,-0.6209169558715075,True
1,105,motor,True,,,0.36659461609087884,1.1177131731528789,-0.751118557062,True
